Apps                                    Avg Num     Num Machines
SafariCloudHistoryPushAgent             5.0         1
wirelessproxd                           5.0         1


Fifos                                   Avg Num     Num Machines
AdobeUpdateDaemon                       2.33333     2
Adobe\x20Desktop\x20Service             2.0         2
Adobe\x20Installer                      2.0         1


Pipes                                   Avg Num     Num Machines
AppleSpell                              226.4       1
EpicGamesLauncher-Mac-Shipping          40.8        1
Code\x20Helper                          34.21053    2
Google\x20Chrome\x20Helper              32.31269    14
CarboniteDaemon                         28.0        1
Slack\x20Helper                         24.0        1
Spotify                                 22.72464    12
Opera\x20Helper                         20.62857    2
vpnagentd                               20.0        1
Atom\x20Helper                          20.0        5
Opera                                   20.0        2
plugin-container                        19.5        1
Electron                                18.0        2
remoting_me2me_host                     18.0        1
Dropbox                                 17.0        6
Google\x20Chrome                        16.81081    14
Atom                                    16.0        5
Slack                                   16.0        1
nsurlsessiond                           11.0        20
P72E3GC48.com.dashlane.Dashlane         10.0        1
RdrCEF                                  10.0        2
rsession                                9.33333     3
dbfseventsd                             9.0         6
Creative\x20Cloud                       9.0         2
firefox                                 8.875       1
ssh-agent                               8.64706     2
Dropbox\x20Web\x20Helper                8.0         6
CiscoVideoGuardMonitor                  8.0         1
SymDaemon                               8.0         2
Core\x20Sync                            8.0         2
Spotify\x20Helper                       7.86076     12
Backup\x20and\x20Sync                   7.0         1
Python                                  6.72727     2
BlueJeans                               6.0         1
CarboniteStatus                         6.0         1
node                                    6.0         2
Microsoft.Python.LanguageServer         6.0         1
dsAccessService                         5.83333     4
FortniteClient-Mac-Shipping             5.33333     1
R                                       5.33333     2
Terminal                                4.0         20
ZoomOpener                              4.0         3
cupsd                                   4.0         10
python3.6                               4.0         1
Microsoft\x20Word                       4.0         14
locationd                               4.0         20
UnrealCEFSubProcess                     4.0         1
DashlanePluginMASService                4.0         1
com.avast.service                       4.0         1
socketfilterfw                          4.0         3
zotero                                  4.0         1
RdrCEF\x20Helper                        4.0         2
Adobe\x20CEF\x20Helper                  3.5         2
lsof                                    3.0         20
RStudio                                 3.0         3
SystemUIServer                          3.0         20
AppTech                                 3.0         2
pdftex                                  3.0         1
Acrobat\x20Updater                      3.0         2
sudo                                    2.5323      20
com.apple.WebKit.Networking             2.10811     10
iTunes                                  2.1         10
AppleMobileDeviceHelper                 2.0         7
com.avast.fileshield                    2.0         1
com.avast.proxy                         2.0         1
ath                                     2.0         3
expressvpnd                             2.0         2
SpotifyWebHelper                        2.0         2
p                                       2.0         1
Adobe\x20Desktop\x20Service             2.0         2
AppStats                                2.0         1
TeXShop                                 1.2         2
bash                                    1.0         20
kextfind                                1.0         1
ntpd                                    1.0         3


TCP                                     Avg Num     Num Machines
com.avast.proxy                         54.6        1
firefox                                 19.125      1
Google\x20Chrome\x20Helper              19.10526    14
Backup\x20and\x20Sync                   15.1        1
com.apple.WebKit.Networking             14.65574    10
Opera                                   13.53333    2
Dropbox                                 11.10909    6
nsurlsessiond                           10.5        20
parentalcontrolsd                       10.0        2
Google\x20Chrome                        9.25581     14
Electron                                8.25        2
Spotify                                 7.72464     12
Creative\x20Cloud                       7.33333     2
IMTransferAgent                         6.0         2
OneDrive                                6.0         1
Spark                                   5.0         1
identityservicesd                       4.4         20
CarboniteDaemon                         4.0         1
launchd                                 4.0         20
LookupViewService                       4.0         3
iTunes                                  4.0         10
Core\x20Sync                            4.0         2
Mail                                    3.93023     6
zotero                                  3.9         1
IMRemoteURLConnectionAgent              3.42105     7
Slack                                   3.3         1
HP\x20Device\x20Monitor                 3.0         3
com.apple.CommerceKit.Transacti         3.0         3
mtmfs                                   3.0         2
SpotlightNetHelper                      3.0         1
rsession                                2.91667     3
Microsoft\x20Word                       2.90909     14
Atom                                    2.83333     5
mDNSResponder                           2.51351     20
apsd                                    2.35542     20
kdc                                     2.0         1
rapportd                                2.0         17
cupsd                                   2.0         10
Spotlight                               2.0         18
AddressBookSourceSync                   2.0         4
Microsoft\x20Excel                      2.0         9
CiscoVideoGuardMonitor                  2.0         1
p                                       2.0         1
node                                    2.0         2
xartstorageremoted                      2.0         1
storeassetd                             2.0         1
cloudd                                  1.80645     17
CalendarAgent                           1.78947     13
Notes                                   1.73077     9
com.apple.geod                          1.71429     6
FortniteClient-Mac-Shipping             1.66667     1
Code\x20Helper                          1.5         2
commerce                                1.5         9
Adobe\x20Desktop\x20Service             1.5         2
remoting_me2me_host                     1.3         1
Safari                                  1.28571     11
EpicGamesLauncher-Mac-Shipping          1.1         1
Office365ServiceV2                      1.06667     4
ARDAgent                                1.0         1
BlueJeans                               1.0         1
CarboniteStatus                         1.0         1
ZoomOpener                              1.0         3
avconferenced                           1.0         8
java                                    1.0         2
fmfd                                    1.0         4
com.apple.Safari.SafeBrowsing.S         1.0         4
com.apple.iCloudHelper                  1.0         2
syncdefaultsd                           1.0         5
RStudio                                 1.0         3
com.apple.WebKit.WebContent             1.0         6
vpnagentd                               1.0         1
Python                                  1.0         2
DashlanePluginMASService                1.0         1
EEventManager                           1.0         1
P72E3GC48.com.dashlane.Dashlane         1.0         1
com.avast.daemon                        1.0         1
com.apple.Safari.SearchHelper           1.0         3
SymDaemon                               1.0         2
expressvpnd                             1.0         2
assistantd                              1.0         11
SpotifyWebHelper                        1.0         2
JavaAppLauncher                         1.0         2
Microsoft\x20PowerPoint                 1.0         9
biometrickitd                           1.0         1
eoshostd                                1.0         1
mysqld                                  1.0         1


UDP                                     Avg Num     Num Machines
mDNSResponder                           63.51765    20
airportd                                9.67647     20
ntpd                                    8.44        3
Opera                                   5.0         2
Google\x20Chrome                        4.90741     14
