APP NAME                                   NUM MACHINES   AVG FIFOS   AVG PIPES    LOCAL TCP(TOTAL)    LOCAL UDP(TOTAL)    AVG UNIX     USERS
keyboardservicesd                                     2           0           0               0 (0)               0 (0)           1     USERNAME
knowledge-agent                                       3           0           0               0 (0)               0 (0)           1     USERNAME
launchd                                              22           0           0               4 (4)               2 (2)          36     root
launchservicesd                                       1           0           0               0 (0)               0 (0)           1     root
locationd                                            22           0           4               0 (0)               1 (1)           3     _locationd
LocationMenu                                         11           0           0               0 (0)               0 (0)           1     USERNAME
logd                                                 19           0           0               0 (0)               0 (0)           1     root
loginwindow                                          22           0           0               0 (0)               1 (1)           1     USERNAME
LookupViewService                                     3           0           0               0 (4)               0 (0)           2     USERNAME
lsd                                                   1           0           0               0 (0)               0 (0)           1     USERNAME
lsof                                                 22           0           3               0 (0)               0 (0)           0     root
Magnet                                                1           0           0               0 (0)               0 (0)           1     USERNAME
MAIL                                                  8           0           0               0 (4)               0 (0)           2     USERNAME
mapspushd                                             3           0           0               0 (0)               0 (0)           2     USERNAME
mDNSResponder                                        22           0           0               1 (3)             62 (62)          44     _mdnsresponder
MDS                                                  20           0           0               0 (0)               0 (0)           2     root
mdwrite                                               1           0           0               0 (0)               0 (0)           1     USERNAME
mediaremoted                                         10           0           0               0 (0)               0 (0)           1     root
Messages                                             16           0           0               0 (0)               0 (0)           1     USERNAME
Microsoft\x20AutoUpdate                               1           0           0               0 (0)               0 (0)           1     USERNAME
Microsoft\x20Outlook                                  1           0           0               0 (0)               0 (0)           4     USERNAME
MirrorDisplays                                        1           0           0               0 (0)               0 (0)           1     USERNAME
MobileDeviceUpdater                                  11           0           0               0 (0)               0 (0)           3     USERNAME
mtmfs                                                 2           0           0               3 (3)               0 (0)           1     root
mysqld                                                1           0           0               1 (1)               0 (0)           1     USERNAME
nehelper                                              1           0           0               0 (0)               0 (0)           1     root
nesessionmanager                                      1           0           0               0 (0)               0 (0)           3     root
NetAuthSysAgent                                       1           0           0               0 (0)               0 (0)           1     USERNAME
netbiosd                                             22           0           0               0 (0)               2 (2)           2     _netbios
netsession_mac                                        1           0           0               1 (1)               2 (2)           1     USERNAME
networkd                                              1           0           0               0 (0)               1 (1)           1     _networkd
networkserviceproxy                                  21           0           0               0 (0)               0 (0)           1     USERNAME
nfcd                                                  2           0           0               0 (0)               0 (0)           1     _applepay
node                                                  2           0           6               2 (2)               0 (0)           4     USERNAME
Norton                                                2           0           0               0 (0)               0 (0)           2     USERNAME
Notes                                                10           0           0               0 (2)               0 (0)           1     USERNAME
NotificationCenter                                   20           0           0               0 (0)               0 (0)           1     USERNAME
nsurlsessiond                                        22           0          11              0 (10)               0 (0)           2     USERNAME, _nsurlsessiond
nsurlstoraged                                        20           0           0               0 (0)               0 (0)           1     USERNAME
ntpd                                                  3           0           1               0 (0)               1 (8)           1     root
ocspd                                                 1           0           0               0 (0)               0 (0)           2     root
Office365ServiceV2                                    4           0           0               1 (1)               0 (0)           2     USERNAME
OneDrive                                              1           0           0               0 (6)               0 (0)           4     USERNAME
opendirectoryd                                        1           0           0               0 (0)               0 (0)           1     root
OPERA                                                 2           0          41              0 (14)               0 (5)          27     USERNAME
OSDUIHelper                                          15           0           0               0 (0)               0 (0)           1     USERNAME
p                                                     1           0           2               0 (2)               0 (0)           2     USERNAME
P72E3GC48.com.dashlane.Dashlane                       1           0          10               1 (1)               0 (0)           0     USERNAME
Pages                                                 2           0           0               0 (0)               0 (0)           2     USERNAME
parentalcontrolsd                                     2           0           0             10 (10)               0 (0)           4     root
parsecd                                              10           0           0               0 (0)               0 (0)           1     USERNAME
pbs                                                   7           0           0               0 (0)               0 (0)           1     USERNAME
pdftex                                                1           0           3               0 (0)               0 (0)           0     USERNAME
PerfPowerServices                                    15           0           0               0 (0)               1 (1)           0     root
photoanalysisd                                        4           0           0               0 (0)               0 (0)           1     USERNAME
photolibraryd                                         1           0           0               0 (0)               0 (0)           1     USERNAME
plugin-container                                      1           0          20               0 (0)               0 (0)          42     USERNAME
pma                                                   1           0           0               0 (0)               0 (0)           1     USERNAME
powerd                                                1           0           0               0 (0)               0 (0)           1     root
POWERPOINT                                           11           0           0               0 (1)               0 (0)           3     USERNAME
Preview                                              18           0           0               0 (0)               0 (0)           1     USERNAME
PRINTING                                              8           0           0               0 (0)               0 (0)           2     USERNAME
ProtectedCloudKeySyncing                              2           0           0               0 (0)               0 (0)           1     USERNAME
PulseTray                                             2           0           0               0 (0)               0 (0)           1     USERNAME
PYTHON                                                2           0          17               1 (1)               0 (0)          16     USERNAME
QuickLookUIService                                    2           0           0               0 (0)               0 (0)           1     USERNAME
R                                                     3           0           8               1 (1)               0 (0)           2     USERNAME
rapportd                                             19           0           0               2 (2)               1 (1)           2     USERNAME
rcd                                                   1           0           0               0 (0)               0 (0)           1     USERNAME
RDR CEF                                               2           0          14               0 (0)               0 (0)           5     USERNAME
ReceiverHelper                                        1           0           0               0 (0)               0 (0)           1     USERNAME
recentsd                                              1           0           0               0 (0)               0 (0)           1     USERNAME
remoting_me2me_host                                   1           0          18               0 (1)               0 (0)           1     USERNAME
ReportCrash                                           3           0           0               0 (0)               0 (0)           1     USERNAME, root
routined                                              2           0           0               0 (0)               0 (0)           1     USERNAME
rpcsvchost                                           11           0           0               0 (0)               0 (0)           1     root
rsession                                              3           0           9               3 (3)               0 (0)           1     USERNAME
rtcreportingd                                        14           0           0               0 (0)               0 (0)           1     root, USERNAME
SAFARI                                               11           0           2              0 (19)               0 (0)          10     USERNAME
SCIM_Extension                                        3           0           0               0 (0)               0 (0)           1     USERNAME
ScopedBookmarkAgent                                   1           0           0               0 (0)               0 (0)           1     USERNAME
screencaptureui                                       1           0           0               0 (0)               0 (0)           1     USERNAME
secd                                                 20           0           0               0 (0)               0 (0)           1     USERNAME, _locationd
